"Title", "Description"
"Digital Circuit Design", "Digital concepts. Combinational logic: gates, Boolean algebra, K-maps, standard implementations. Sequential circuits: flip-flops, timing diagrams, state diagrams, counters and registers, design methods. MSI devices, memory, and programmable devices."
"Digital Circuit Design Laboratory", "Laboratory experience in digital electronics. Logic design projects using standard SSI and MSI integrated circuits."
"Microprocessors", "Hands-on familiarization with computer and microprocessor software and hardware. Computer architecture and interfacing with input and output devices."
"Microprocessor Laboratory", ""
"Introduction to Computer Systems", "Bits, binary representations, digital logic structures, the von Neumann computing model, the machine and assembly language, interrupt and traps, input and output, subroutines, stack and high-level programming in computing systems."
"Introduction to Computer Systems Laboratory", ""
"Linear Circuit Theory", "Kirchhoff's Laws, DC-resistive networks, dependent sources, operational amplifier circuits, natural and forced response of first- and second-order circuits, sinusoidal steady-state response, phasors, AC power."
"Linear Circuits Laboratory", ""
"Passive and Active Circuits", "Electrical circuit laws and theorems, transient and steady-state response, phasors, frequency response, resonance. Diode and transistor circuits, digital logic devices."
"Digital Design with FPGAs", "Digital design, simulation, synthesis and verification using electronic design automation tools. IEEE VHDL hardware description language and rapid prototyping with FPGAs. Register transfer level design with reusable modules and cores."
"Digital Design with FPGAs Laboratory", ""
"Introduction to Computer Architecture", "Introduction to CPU, instruction set architecture, instruction pipeline, hazard avoidance and branch prediction. Concept and evaluation of cache memory and memory management. Bus architecture and input and output interfaces."
"Linear Systems", "Fourier series, Fourier transforms, transfer functions of continuous and discrete-time systems, transient and steady-state response, natural response and stability, convolution."
"Linear Systems and Signals", "Continuous-time and discrete-time systems, frequency response, stability criteria, Laplace transforms, z-transforms, filters, sampling, feedback, and applications."
"Electromagnetic Fields I", "Electrostatics and magnetostatics, forces on charged particles. Analysis employs vector algebra and vector calculus in orthogonal coordinates. Simple applications to engineering problems."
"Introduction to Solid State Devices", "Electrical and optical properties of semiconductors. Characteristics of p-n and metal semiconductor junctions. Application to diodes, transistors and light emitting and absorbing devices. Fabrication technology is introduced."
"Electronics I", "Review of linear circuit theory, operational amplifiers, diode and transistor circuits, computer-aided design, linear and nonlinear circuit applications, CMOS logic"
"Electronics I Laboratory", ""
"Electronics II", "Bipolar and MOS transistor biasing, small signal amplifiers, amplifier frequency response, operational amplifiers, SPICE, nonlinear circuits, statistical circuit simulation."
"Electronics II Laboratory", ""
"Technologies and Music", "Introduction to 12-tone music; orchestra instruments; mathematics and physics of musical acoustics; physiology of auditory system; audio engineering; microphones, amplifiers and speakers; software for synthesis; ethics in music industry."
"Special Problems", "Independent study of special engineering problems. Topic and number of credits determined in consultation with the instructor."
"Special Problems", "Independent study of special engineering problems. Topic and number of credits determined in consultation with the instructor."
"Special Problems", "Independent study of special engineering problems. Topic and number of credits determined in consultation with the instructor."
"Introduction To Professional Practice", "Discussions with faculty, visiting engineers, and invited speakers on ethical, social, economic, and safety considerations in engineering practice; career planning; graduate study."
"Launching a Technology Startup", "Computer technology: hardware, software, and network; Computer applications in today's society; Tech Innovations; startup company, team building, market analysis, technology differentiation, raising Angel and VC funds: Exit Strategies."
"Digital Computer Design", "Hardware implementation of digital computers. Arithmetic circuits, memory types and uses, control logic, basic computer organization, microprogramming, input/output circuits, microcomputers."
"Digital Computer Design Laboratory", ""
"Embedded System Design", "Engineering design problems involving hardware, software and interface of computer and embedded systems. Students will apply skills and knowledge accumulated through the curriculum in a group senior design project."
"Embedded System Design Laboratory", ""
"Electromagnetic Fields II", "Transmission lines, Maxwell's equations, wave equation, reflection and refraction phenomena, polarization effects waveguides and antennas. Design project requiring application of electromagnetic theory and use of numerical methods."
"Electromagnetic Fields II Laboratory", ""
"Renewable and Efficient Electric Power Systems", "This course introduces students to renewable and efficient electric power systems, ranging from the basic concepts of electric power engineering to renewable energy systems such as wind and solar systems."
"Communication Systems", "Representation of signals and noise. Basic principles of modulation and demodulation. Waveform and digital transmission systems. Design of a component of a communication system."
"Communication Systems Laboratory", ""
"Introduction to Computer Networks", "Computer networks, layering standards, communication fundamentals, error detection and recovery, queuing theory, delay versus throughput trade-offs in networks, multiple-access channels, design issues in wide and local area networks."
"Information and Network Security", "Elementary cryptography, public key, private key, symmetric key, authentication protocols, firewalls, virtual private networks, transport layer security, and wireless network security."
"Digital Integrated Circuit Design I", "Introduction to full custom digital integrated circuit design. Analysis of logic functions and timing at the transistor level. Realization of logic functions via hand crafted transistor layout. Design project."
"Digital Integrated Circuit Design I Laboratory", ""
"Foundations of Robotics", "The course provides the theoretical background to formulate and address problems in robotics. Its objective is to give a basic understanding of robot kinematics, sensing, actuation, localization, control, and planning."
"Control Systems", "An introduction to feedback control systems. PID control, time/frequency response, stability and performance specifications, root locus, Bode plot, lead/lag compensator, state-space design, and applications to typical electro-mechanical systems."
"Digital Control Systems", "Analysis and design of digital control systems using state-space techniques. State feedback and observers. Laboratory includes computer simulation and hardware implementation of control laws for electromechanical systems.3) "
"Digital Control Systems Laboratory", ""
"Physiological Modeling and Control", "Principles of physiological modeling and control of linear and nonlinear systems, stability analysis, root locus, Bode plots, linearization."
"Mobile Computing", "Application of modern mobile computing platforms, user interface, software application development, hardware interface; view controllers; data interaction; application distribution."
"Capstone Design I", "Application of engineering skills; teams focus on the design and communication of solutions to problems with real-world constraints (may include aspects of other engineering disciplines). First of a two-course sequence.2, Lab. 3) "
"Capstone Design II", "Application of engineering skills; teams focus on the design and communication of solutions to problems with real-world constraints (may include aspects of other engineering disciplines). Second of a two-course sequence."
"Special Problems", "Independent study of special engineering problems. Topic and number of credits determined in consultation with the instructor."
"Special Problems", "Independent study of special engineering problems. Topic and number of credits determined in consultation with the instructor."
"Special Problems", "Independent study of special engineering problems. Topic and number of credits determined in consultation with the instructor."
"Project Planning and Management in Systems Engineering", "Presents the tools and processes to help plan and manage real-world systems engineering projects including network planning, scheduling, analysis, synthesis; critical path method/PERT; computer-aided planning; and other contemporary tools."
"Linear Transform Analysis", "Transform analysis (including Fourier, Laplace, and z-transforms) of continuous- and discrete-time systems and signals. Properties of transforms, computational efficiency, and applications such as compact representations of video and sound."
"Nonlinear Control Systems", "Analysis of nonlinear systems: phase-plane analysis, Lyapunov theory, advanced stability theory, describing functions. Design of nonlinear control systems: feedback linearization, sliding control."
"Linear Control Systems", "State-variable description of continuous-time and discrete-time systems, matrices and linear spaces, controllability and observability, pole-placement methods, observer theory and state reconstruction, MATLAB exercises for simulation and design."
"Optimal Control Theory", "Quadratic performance indices and optimal linear control, frequency response properties of optimal feedback regulators, state estimation, separation theorem, optimal control of nonlinear systems, Pontryagin's minimum principle."
"Digital Signal Processing", "Review of z-transform, frequency response of LTI systems, digital filter structures, sampling theorem, spectral analysis, DFT and FFT algorithms, windows, periodogram, introduction to design of FIR and IIR filters."
"Introduction to Random Processes", "Probability and random variables; random process characterizations and techniques. Useful models. Discrete and continuous systems with random inputs. Applications to detection, and filtering problems."
"Communication Theory", "Communication theory for discrete and continuous channels. Optimum-receiver principles and signal design. Fundamentals of information theory. Channel models, modulation techniques, source encoding, error control coding, decoding algorithms."
"Engineering Electromagnetics", "Review of electrostatics and magnetostatics. Maxwell's equations, wave propagation in dielectric and conducing media. Boundary phenomena. Radiation from simple structures. Relations between circuit and field theory.3)"
"Systems Simulation", "Simulation of random processes and systems. Continuous and discrete simulation models. Data structures and algorithms for simulation. Generation of random variates, design of simulation experiments for optimization and validation of models and results. Selected engineering applications."
"Fiber Optic Communication Systems", "Survey of important topics in optical communication devices and systems. The physical principles and operation of lasers, LEDs, fibers, and detectors are covered."
"Current Topics in Lightwave Technology", "Current topics of importance in lightwave technology including coherent fiber optical communication systems, optical amplifiers, active and passive single-mode devices, infrared optical fibers. Material will be taken from recent literature."
"Solid State Engineering I", "Review of quantum mechanics, crystal properties, energy-band theory, introduction to scattering, generation-recombination processes, Boltzmann's transport equation, semiconductor junctions, devices."
"Solid State Engineering II", "Properties of insulators, semiconductors, conductors and superconductors from quantum mechanical principles. Semiconductor physics and band theory of solids as applied to current semiconductor and optoelectronic devices."
"MOS Devices", "Device physics and computer modeling of MOS devices, capacitors, metal semiconductor contacts, PMOS, NMOS, and DMOS transistors, short channel effects, modeling, small signal equivalent circuits."
"Digital Integrated Circuit Design II", "Device physics for CMOS technology, design techniques for static and dynamic logic families and arithmetic elements, design capture tools, synthesis strategies, scaling and next generation CMOS technologies, design project."
"Analog Integrated Circuit Design", "IC processing, device modeling and simulation, building blocks for analog circuits, amplifiers, continuous and discrete-time filters, band-gap references, Nyquist-rate converters, oversampled converters, design project.Lab. 3) "
"Fault-Tolerant Computing", "Fault and error modeling, reliability modeling and evaluation, fault-tolerant computer systems, digital and mixed analog/digital VLSI testing, concurrent error detection, and design for VLSI yield enhancement."
"Computer Networks", "Computer network architectures, data link control and access protocols for LANs, internet protocols and applications, software and hardware issues in computer communication, delay analysis, and current research in computer networking."
"Arithmetic Algorithms and Hardware Designs", "Hardware algorithms and implementations of fixed and floating-point adders, multipliers, and dividers. Error and time complexity analysis. Applications to DSP algorithms. Circuit design in VHDL and prototype with FPGA."
"Advanced Digital Circuits and Systems", "Advanced topics in Boolean algebra and digital designs. Arithmetic circuits, low-power designs, cryptography, communications, concurrent error detection/correction, SoC, and quantum computing. Project in design and implementation of complex digital systems."
"Design of Computer-Based Instrumentation", "Design of memory systems, input-output techniques, direct memory access controllers, instrument buses, video displays, multiprocessors-coprocessors, real-time operations, device handler integration into high-level language and mass storage."
"Embedded Computer Systems and Applications", "Principles of embedded computer system designs; CPU, memory, I/O, interfacing of embedded computers; modern hardware/software tools for embedded computing, and design of advanced systems including wired/wireless networking, image acquisition/processing, controls, medical equipment, or consumer electronics."
"Computer Architecture", "Classification and taxonomy of computer architectures. RISC vs. CISC. Cache and virtual memory systems. Pipeline and vector processors. Multi-processor and multi-computer systems. Interprocessor communication networks. Dataflow machines. Parallel processing languages."
"Computer System Modeling", "Fundamental understanding of computer systems with limited resources: data centers, fog computing and networks, Internet-of-Things (IoT), etc. Analytical methods to predict the system performance. Queuing theory, scheduling, and load balancing."
"Ocean Systems Engineering", "Introduction to the design of systems for use in the ocean environment with emphasis on interaction of various subsystem disciplines to achieve total system performance characteristics. Introduction to detection, localization, classification and time measurement strategies including Global Positioning system, underwater Acoustics Positioning and control, wireless acoustic and electromagnetic communication, and remote time transfer. Examples will include mobile, fixed, autonomous, distributed and networked sensors."
"Physiological Modeling and Control", "Principles of physiological modeling and control of linear and nonlinear systems, stability analysis, root locus, Bode "
"Biomedical Instrumentation Design", "Fundamentals of biomedical instrumentation, biocompatibility, medical device materials; safety, noise rejection, biomedical signal processing; measuring, recording, monitoring, and therapeutic devices. Not for undergraduate credit. Not open to students who have credit in ELE 489 or BME 461."
"Biomedical Instrumentation Laboratory", "Development of a portable heart function monitor that measures the electrocardiogram and photoplethysmogram; Embedded system design using instrumentation amplifier, op-amp, graphic LCD module, and PIC microprocessor with C3) "
"Medical Imaging", "Engineering and clinical applications of medical imaging systems including X-ray, computed tomography, radioisotope imaging, ultrasound, magnetic resonance imaging; picture archiving and communications system and medical image processing. Term paper required. May not be taken by students who have credit in BME 464."
"Medical Image Processing Laboratory", "Development of medical image processing algorithms with graphical user interface in C++ under the Windows operating system: smoothing and sharpening filters, morphological filters, area measurement and edge tracer. Projects"
"Neural Engineering", "Principles and technologies of neuroengineering and clinical applications; brain stimulator, spinal cord stimulation, functional electrical stimulation (FES), neural-machine interface for motor prosthesis control, artificial visual/auditory devices for augmented sensory perception."
"Underwater Acoustics I", "Introduction to sound generation, transmission, and reception, including vibration of mechanical systems, acoustic waves in fluids, acoustic transducers and arrays, acoustic propagation in the ocean, and sonar systems."
"Brain Signal Processing and Applications", "This course presents advanced techniques in brain signal processing including time-frequency analysis (e.g., wavelet), spatial filters (e.g., Laplacian filters), data reduction techniques (e.g., PCA), and machine learning algorithms (e.g., LDA)."
"Special Topics in Artificial Intelligence", "Topics of specialized or current interest, which may change. Topics may include expert systems, natural language processing, neural network models, machine learning. AI applications in remote sensing."
"Computer Vision", "Algorithms used to extract information from two-dimensional images. Picture functions. Template matching. Region analysis. Contour following. Line and shape descriptions. Perspective transformations. Three-dimensional reconstruction. Image sensors. Interfacing. Applications."
"Pattern Recognition", "Random variables, vectors, transformations, hypothesis testing, and errors. Classifier design: linear, nonparametric, approximation procedures. Feature selection and extraction: dimensionality reduction, linear and nonlinear mappings, clustering, and unsupervised classification."
"Optimization for Machine Learning Applications", "Introducing advances in optimization theory and algorithms for rapidly growing applications in machine learning such as linear regression, support vector machines, deep learning, and reinforcement learning."
"Special Problems", "Advanced work under supervision of a faulty member arranged to suit individual requirements of student."
"Special Problems", "Advanced work under supervision of a faculty member arranged to suit individual requirements of student."
"Special Topics in Electrical Engineering", "Intensive inquiry into a certain important field of current interest in electrical engineering.1-3) "
"Non-Thesis Masters Project", "Culminating project for non-thesis Master of Science students in Electrical Engineering. Small scale engineering projects drawn from industrial and academic research and development environments."
"Master's Thesis Research", "Number of credits is determined each semester in consultation with the major professor or program committee."
"Graduate Seminar", "Seminar discussions presented by faculty and outside speakers on topics of current research interest."
"Graduate Seminar", "Student seminars including the presentation of research results and detailed literature surveys. May be repeated for a total of 2 credits."
"Applications of Information Theory", "Information theoretic underpinnings and practical techniques for data compression, channel coding for error control, and encryption and cryptography for secure information transmission."
"Advanced Topics in Computer Architectures", "Modern high-performance computer structures, parallel and distributed hardwares and softwares, instruction level parallelism, memory hierarchy, fault tolerant computing, and future generation computers."
"Estimation Theory", "Extraction of information from discrete and continuous data, best linear estimation, recursive estimation, optimal linear filtering, smoothing and prediction, nonlinear state and parameter estimation, design and evaluation of practical estimators."
"Modulation and Detection", "Advanced treatment of modulation and detection theory. Minimum meansquare error, maximum likelihood, and maximum posterior probability estimators. Applications to communications systems and to radar and sonar systems."
"Advanced Topics in Signal Processing", "Seminar for advanced students. Selected topics of current research interest. Material will be drawn primarily from recent literature."
"Underwater Acoustics II", "Sound transmission in ocean, transducers, active signal design for range and Doppler resolution, ambient and platform noise, classical and wave vector-frequency methods of beamforming, adaptive beamforming, characteristics of targets, and active/passive sonar systems."
"Statistical Sonar Signal Processing", "Basic results in probability and statistics, signal processing, and underwater acoustics are applied to the design of detection, estimation, and tracking in active sonar, passive sonar, and underwater acoustic communication."
"Special Problems", "Advanced work under supervision of a faculty member arranged to suit individual requirements of a student."
"Special Problems", "Advanced work under supervision of a faculty member arranged to suit individual requirements of a student."
"Advanced Special Topics in Electrical Engineering", "Intensive inquiry into a certain important field of current interest in electrical engineering, requiring advanced sophistication of a 600-level course."
"Doctoral Dissertation Research", "Number of credits is determined each semester in consultation with the major professor or program committee."
"Introduction to Systems Engineering", "An exploration of the practice of systems engineering and the interrelationships between industrial, mechanical and other systems. Systems performance evaluation, improvement and planning. Ethics in the practice of engineering."
"Manufacturing Processes and Systems", "Introduction to a wide variety of manufacturing processes. Basic facility layout and manufacturing system design, including material handling and lean principles."
"Laboratory for Manufacturing Processes and Systems", "Laboratory demonstrations and experiments in machining, casting, metrology, and rapid prototyping. Plant visits and lab tours."
"Waste Not, Want Not: Sustainable Lean Production", "Students will learn about sustainability and the science and impact of decisions regarding the design, production, and consumption of goods. Product life cycle analysis including remanufacturing and recycling."
"Engineering Economy and Project Planning", "Effects of economics on engineering decisions in design, selection, and product or project proposals, project planning, resource allocation and scheduling using computer based tools."
"Probability and Statistics for Engineers", "Introduction to probability and statistics in engineering applications including data analysis, probability theory, probability distributions, sampling distributions, statistical inference, hypotheses testing, confidence intervals, analysis of variance, and receiver operating characteristics."
"Statistical Methods and Quality Systems", "Study of statistical methods and quality systems in engineering applications including statistical methods, quality improvement tools, control charts, process capability, linear regression, design of experiments, and acceptance sampling."
"Computer Tools for Engineers", "The study and application of engineering tools for computing and information technology. This course will provide students with the principles and applications of tools for data science and an introduction to computational methods."
"Operations Research: Deterministic Systems", "Introduction to major areas of operations research and their application to systems analysis. Linear programming, transportation and transshipment models, elementary network analysis, integer programming, and related topics."
"Operations Research: Stochastic Systems", "Markov chains, dynamic programming, queuing theory, simulation, forecasting, game theory, simple stochastic models, and their relation to selected problems."
"Simulation Modeling and Analysis", "Simulation of complex deterministic/stochastic systems. Random number generation. Input and output analyses. Spreadsheet simulations Design of simulation experiments. Applications in manufacturing, supply-chain, networks, military, health care, service systems."
"Special Problems in Industrial Engineering", "Independent study and seminar work under close faculty supervision. Discussion of advanced topics in preparation for graduate work."
"Special Problems in Industrial Engineering", "Independent study and seminar work under close faculty supervision. Discussion of advanced topics in preparation for graduate work."
"Industrial and Systems Engineering Capstone Design I", "Application of engineering skills using a team-based approach. Design process methodology and communication of solutions to real-world engineering problems. First of a two-course sequence."
"Industrial and Systems Engineering Capstone Design II", "Application of engineering skills using a team-based approach. Design process methodology and communication of solutions to real-world engineering problems. Second of a two-course sequence."
"Introduction to Human Factors and Ergonomics", "A study of human capabilities and their interactions with the systems where they perform their jobs to help engineers and psychologists to optimize design, improve jobs, and enhance system performance."
"Facilities Planning and Material Handling", "Facility layout, facility location, and material handling topics including system requirements, planning, performance analysis, equipment, and economic considerations. Applications include facilities for manufacturing, distribution, healthcare, and service industries."
"Product Design for Manufacture", "Techniques for analyzing product structures for ease of assembly and manufacture. Manual, robot, and high-speed mechanized assembly systems considered for mechanical and electronic products. Covers choice of material and processes in early design."
"Production System Design", "Stochastic and deterministic models of production and inventory systems. Push and pull production control systems. Manufacturing system design, scheduling, material handling and facility layout."
"Product Design for the Environment", "Principles and practices of designing more environmentally beneficial products. Environmental effects. Life cycle analysis, recycling and remanufacturing. Design for disassembly and environment. Group projects on product and process design using LCA and DFE analysis tools."
"Solar Energy Systems", "The study of renewables via solar energy systems. Methods, economic criteria, and background for assessing the systems of solar energy conversion technologies both in local and international settings."
"Special Problems", "Advanced work under the supervision of a member of the faculty and arranged to suit the individual requirements of the student."
"Special Problems", "Advanced work under the supervision of a member of the faculty and arranged to suit the individual requirements of the student."
"Project Planning and Management in Systems Engineering", "Presents the tools and processes to help plan and manage real-world systems engineering projects including network planning, scheduling, analysis, synthesis; critical path method/PERT; computer-aided planning; and other contemporary tools."
"Quality Systems", "Topics in statistical quality control systems. Single, multiple, and sequential sampling. Design and analysis of a wide variety of statistical control systems used in conjunction with discrete and continuous data, for several kinds of data emission."
"Human Factors & Ergonomics", "A study of human capabilities, mental and physical, and their interactions within the systems where they perform their jobs to help optimize design, improve jobs, and enhance system performance."
"Human Systems Engineering", "A study of human capabilities via mental processing and decision making models where students will learn to develop, use, and validate models of human cognitive performance for individuals and teams."
"Systems Simulation", "Simulation of random processes and systems. Continuous and discrete simulation models. Data structures and algorithms for simulation. Generation of random variates, design of simulation experiments for optimization and validation of models and results. Selected engineering applications."
"Advanced Statistical Methods for Research and Industry", "Describing and analyzing data, design of experiments, analysis of variance, regression analysis and applications in industry and applied science research."
"Production Control and Inventory Systems", "Theory and practice of industrial production control and inventory systems. A broad spectrum of mathematical models for static, dynamic, perpetual, and periodic inventory systems as they affect and relate to production."
"Advanced Materials Processing", "Continuation of 340. Engineering analyses in the processing of materials. Dynamic coupling, tool-work-piece interaction, energy and thermal analysis; mechanics of material removal and displacements; advanced topics in mechanical electrical systems for processing of materials."
"Introduction to Computer-Aided Manufacturing", "Use of computers in manufacturing. Solid modeling principles and applications. Numerical and adaptive control. CNC programming. Introduction to rapid manufacturing."
"Fundamentals of Machining", "Fundamental treatment of the mechanics and economics of metal machining and grinding. Includes an introduction to numerical control and computer-aided programming of CNC machine tools."
"Automatic Assembly Systems", "Types and economics of automatic assembly systems. Analysis of automatic feeding and orienting techniques for small parts. Application of robots in assembly. Economics of assembly systems for printed circuit boards."
"Manufacturing Systems: Analysis, Design, Simulation", "Problems in system analysis and design as related to modern manufacturing. Quantitative models and simulation methods for manufacturing planning, control scheduling, flexible manufacturing and highly automated manufacturing systems."
"Advanced Metal Deformation Processes", "Theory of metal flow under different loading conditions. Prediction of metal forming process capabilities. Advanced topics include effects of anisotropy and mechanics of powder forming."
"Advanced Product Design for Manufacture", "Techniques for analyzing product structures for ease of assembly and manufacture. Considers mechanical and electronic products and choice of materials and processes. A design project and term paper are required."
"Design for Producibility", "Project work on product development, collaboration with industry, and submission of design project report. Concentration on effect of design decisions on manufacturing efficiency and cost."
"Lean Systems", "Advanced study of enterprise system design including application of lean principles to service industries. Specific topics include lean manufacturing, waste elimination, reduction of cycle and set-up times, reconfigurable systems, quality and performance analysis."
"Deterministic Systems Optimization", "Linear, nonlinear and integer formulations and solutions. Sensitivity analysis and pricing problems; degeneracy and duality; decomposition methods for large-scale systems; use of mathematical programming languages and applications."
"Special Problems", "Advanced work under supervision of a faculty member arranged to suit the individual requirements of the student."
"Special Problems", "Advanced work under supervision of a faculty member arranged to suit the individual requirements of the student."
"Master's Thesis Research", "Number of credits is determined each semester in consultation with the major professor or program committee."
"Design and Analysis of Experiments", "Advanced topics in the design and analysis of experiments: factorial designs, blocking and confounding in factorial designs, fractional factorial designs, response surface methods and designs, nested and split-plot designs, other design and analysis topics."
"Nonlinear Systems Optimization", "Methods of optimization: indirect, direct elimination, climbing. Geometric programming. Problems and other topics in applied optimization."
"Advanced Special Problems In Industrial Engineering", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student."
"Advanced Special Problems in Industrial Engineering", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student."
"Doctoral Dissertation Research", "Number of credits is determined each semester in consultation with the major professor or program committee. S/U only."
"Engineering Graphics", "Introduction to the principles of graphic representation in engineering design, with emphasis on computer-aided drafting, orthographic projection, isometric and auxiliary views, sections, dimensioning, and rapid prototyping."
"Statics", "Newton's laws of force systems in equilibrium and their effects on particles, systems of particles, and rigid bodies. Both scalar and vector methods of analysis are developed."
"Statics", "Statics. Newton's laws of force systems in equilibrium and their effects on particles, systems of particles, and rigid bodies. Both scalar and vector methods of analysis are developed."
"Dynamics", "Kinematic and kinetic study of motion of particles, systems of particles, and rigid bodies, acted upon by unbalanced force systems, using both scalar and vector methods; development of methods of analysis based on the direct application of Newton's laws, work-energy and impulse-momentum principles."
"Application of Mechanics in Design", "Concepts of engineering design, material selection, failure theories, fracture and fatigue, and finite-element analysis. Application to the design of mechanical components such as shafts, bolts, welded joints, and springs."
"Design of Machinery", "Analysis and design of mechanisms and machine elements including linkages, gear trains, cam-follower systems, bearings, brakes and clutches, flexible mechanical elements, and intermittent and other devices. Graphical, analytical and computer-aided synthesis techniques."
"Introduction To Mechanical Engineering Experimentation", "Report writing, computer-assisted data acquisition and control, statistical and other measures of data uncertainty, propagation of uncertainty, curve fitting. Introduces basic instrumentation for measuring pressure, temperature, velocity and strain."
"Fundamentals of Thermodynamics", "Basic principles and laws of thermodynamics and their relation to pure substances, ideal gases, and real gases. Use of thermodynamic property tables. Development of concepts of reversibility and availability. First and Second Law application to engineering systems; power and refrigeration cycles."
"Heat and Mass Transfer", "Transfer of heat by conduction, convection, and radiation in steady and unsteady states. Theory and application of dimensional analysis; heat and mass transfer in equipment such as heat exchangers and steam condensers."
"Fluid Mechanics", "Physical properties of fluids, development of continuity, energy, and momentum concepts using vector methods; application to problems involving viscous and nonviscous fluids including boundary layer flows, flows in closed conduits and around immersed bodies."
"System Dynamics", "Systems analysis emphasizing control and vibration. Time and frequency domain techniques. Modeling of typical mechanical, hydraulic, pneumatic, and thermal systems. Transfer functions and block diagram methods. Elementary control laws."
"Engineering Analysis", "Application of advanced mathematical methods and computer software to solution of mechanical engineering problems with emphasis on the techniques of engineering analysis."
"Mechanical Engineering Capstone Design I", "Application of engineering skills using a team-based approach. Design process methodology and communication of solutions to real-world engineering problems. First of a two-course sequence."
"Mechanical Engineering Capstone Design I", "Mechanical Engineering Capstone Design I. Application of engineering skills using a team-based approach. Design process methodology and communication of solutions to real-world engineering problems. First of a two-course sequence."
"Mechanical Engineering Capstone Design II", "Application of engineering skills using a team-based approach. Design process methodology and communication of solutions to real-world engineering problems. Second of a two course sequence."
"Mechanical Engineering Capstone Design II", "Mechanical Engineering Capstone Design II. Application of engineering skills using a team-based approach. Design process methodology and communication of solutions to real-world engineering problems. Second of a two course sequence."
"Probability and Statistics for Engineers", "Introduction to probability and statistics in engineering applications including data analysis, probability theory, probability distributions, sampling distributions, statistical inference, hypotheses testing, confidence intervals, analysis of variance, and receiver operating characteristics."
"Mechanical Engineering Experimentation", "Course aims to build on foundation from MCE 313 and to apply experimental tools to topics from the two main emphasis areas in the undergraduate curriculum, mechanical systems and thermal systems."
"Advanced Mechanics of Materials", "Introduction to continuum mechanics: stress, strain and deformation, constitutive equations. Theories of failure. Shear center and unsymmetrical bending of beam. Curved beams. Energy method. Torsion."
"Control Systems", "An introduction to feedback control systems. PID control, time/frequency response, stability and performance specifications, root locus, Bode plot, lead/lag compensator, state-space design, and applications to typical electro-mechanical systems."
"Mechatronics", "Design of microprocessor-controlled electromechanical systems. Topics covered include: real-time programming, motion control elements, interfacing of sensors and actuators, basic electronics, and microprocessor architecture."
"Heating, Ventilation, and Air Conditioning", "Application of the principles of thermodynamics and heat transfer to environmental problems. Topics will include thermal control of living spaces, solar heating and cooling, heat pumps, minimum energy consumption."
"Turbomachinery Design", "Application of the principles of thermodynamics and fluid mechanics to the design of rotating machinery such as turbines, compressors, centrifugal and axial flow pumps."
"Internal Combustion Engines", "Principles, design, and operation of internal combustion engines, including cycles, combustion, fuels, detonation, carburetion, cooling, supercharging, ignition, friction, and lubrication. Gasoline and diesel, two- and four-stroke cycles, and performance of various engines including the Wankel rotary."
"Mechanics of Composite Materials", "Introduction to the basic concepts of the mechanical behavior of composite materials. Analysis and performance of fiber-reinforced composites. Special design considerations and experimental characterization of composites."
"Product Design for Manufacture", "Techniques for analyzing product structures for ease of assembly and manufacture. Manual, robot, and high-speed mechanized assembly systems considered for mechanical and electronic products. Covers choice of material and processes in early design."
"Tribology", "Introductory course on the basic principles of tribology (friction, wear, lubrication); fundamentals of surface contact; friction theories; wear mechanisms; temperature considerations in sliding contacts; lubrication regimes; materials selection; design of bearings; advanced applications; experimental analysis."
"Advanced Fluid Mechanics", "Analysis and computation of steady flows involving practical geometries. Comparisons between the exact and numerical solutions. Laminar and turbulent flows including boundary layers, flow separation, and three-dimensionality."
"Foundations of Robotics", "The course provides the theoretical background to formulate and address problems in robotics. Its objective is to give a basic understanding of robot kinematics, sensing, actuation, localization, control, and planning."
"Product Design for the Environment", "Principles and practices of designing more environmentally beneficial products. Environmental effects. Life cycle analysis, recycling and remanufacturing. Design for disassembly and environment. Group projects on product and process design using LCA and DFE analysis tools."
"Vibrations", "Elementary theory of mechanical vibrations, including the one-degree-of-freedom system, multimass systems, vibration isolation, torsional vibration, beam vibration, critical speeds, and vibration instruments."
"Introduction to Finite Element Method", "Application of the finite element method to problems in mechanical engineering including plane elasticity, heat transfer, and fluid mechanics. Basic concepts, matrix formulation, interpolation functions, basic element types, and implementation to problem solution."
"Nuclear Reactor Engineering", "Energy production from nuclear reactions, cross sections, number density, and binding energy. Fission process, neutron life cycle, criticality, neutron diffusion, reactor design, reactor kinetics and control, reactivity feedback, nuclear system design."
"Power Plant System Design and Safety Analysis", "Energy production, power systems, energy conversion system design, safety engineering and design, phenomenological modeling and analysis, probabilistic risk assessment, risk-informed design, advanced power plant systems design."
"Nuclear Fuel Cycle and Performance", "Analysis and design of stages of the nuclear fuel cycle including mining, milling, conversion, enrichment, fuel fabrication, fuel burn-up, spent fuel interim storage, reprocessing, safety and aspects of high level waste."
"Nuclear Reactor Thermal-Hydraulics", "Nuclear heat generation, decay heat, heat transport, and conductive, convective, and phase change heat removal in nuclear reactor systems."
"Mechanics of Materials in Nuclear Applications", "Nuclear systems, material microstructure and mechanical properties, high temperature deformation mechanisms, radiation effects, reactor materials, materials selection for primary and secondary cycles."
